DATE,AQI,PM2.5,PM10,SO2,NO2,CO2,O3
08-07-2020,61,30,47,4,21,0.65,114
09-07-2020,44,28,30,2,15,0.59,88
10-07-2020,63,45,39,2,19,0.7,75
11-07-2020,110,82,59,2,22,1.05,69
12-07-2020,116,88,58,2,22,1.23,78
13-07-2020,72,50,49,2,21,0.93,78
14-07-2020,50,31,43,2,19,0.65,97
15-07-2020,56,30,43,2,19,0.54,110
16-07-2020,71,47,72,2,21,0.66,126
17-07-2020,66,47,60,2,19,0.61,94
18-07-2020,59,42,32,3,15,0.61,76
19-07-2020,48,28,24,2,16,0.49,66
20-07-2020,71,33,57,2,25,0.61,116
21-07-2020,63,33,62,2,20,0.55,126
22-07-2020,80,41,59,3,22,0.75,137
23-07-2020,62,29,52,2,27,0.63,114
24-07-2020,55,24,43,2,24,0.54,125
25-07-2020,66,26,62,2,35,0.58,115
